"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"11001","5","324","75","0","2000","A","","District of Columbia","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,68,5667754,0,0,1593,82842,"",0.62,0.11,0.10,0.00,0.00,0.89,0.89,"",0,0.0,24,54.5,1234382,27.8,0,0.0,0,0.0,-348,-17.9,-18108,-17.9
"12000","5","324","55","0","2000","A","","Florida -- Statewide","Private","Petroleum and coal products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",88,2126,111038695,0,0,1004,52227,"",0.59,0.32,0.31,0.00,0.00,0.97,0.97,"",6,7.3,13,0.6,33065148,42.4,0,0.0,0,0.0,294,41.4,15322,41.5
"12011","5","324","75","0","2000","A","","Broward County, Florida","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,405,16124606,0,0,767,39863,"",0.48,0.66,0.45,0.00,0.00,0.68,0.68,"",0,0.0,45,12.5,2441845,17.8,0,0.0,0,0.0,35,4.8,1811,4.8
"12031","5","324","75","0","2000","A","","Duval County, Florida","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,188,36281946,0,0,3718,193332,"",1.65,0.46,1.53,0.00,0.00,3.36,3.36,"",2,22.2,5,2.7,28907728,392.0,0,0.0,0,0.0,2944,380.4,153072,380.2
"12057","5","324","75","0","2000","A","","Hillsborough County, Florida","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,918,37317032,0,0,782,40669,"",1.45,1.64,1.19,0.00,0.00,0.73,0.73,"",2,18.2,-79,-7.9,-890085,-2.3,0,0.0,0,0.0,45,6.1,2337,6.1
"12086","5","324","75","0","2000","A","","Miami-Dade County, Florida","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,250,8416571,0,0,647,33666,"",0.29,0.27,0.15,0.00,0.00,0.57,0.57,"",0,0.0,46,22.5,1012524,13.7,0,0.0,0,0.0,-50,-7.2,-2554,-7.1
"12095","5","324","75","0","2000","A","","Orange County, Florida","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,85,2912023,0,0,659,34293,"",0.59,0.15,0.09,0.00,0.00,0.63,0.63,"",0,0.0,-19,-18.3,-39064,-1.3,0,0.0,0,0.0,115,21.1,5985,21.1
"13000","5","324","55","0","2000","A","","Georgia -- Statewide","Private","Petroleum and coal products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",49,1037,46118154,0,0,855,44483,"",0.63,0.28,0.21,0.00,0.00,0.74,0.74,"",-4,-7.5,-82,-7.3,-2160829,-4.5,0,0.0,0,0.0,25,3.0,1335,3.1
"13051","5","324","75","0","2000","A","","Chatham County, Georgia","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,292,14326100,0,0,943,49020,"",2.72,2.49,2.35,0.00,0.00,0.94,0.94,"",1,20.0,-1,-0.3,-4381,0.0,0,0.0,0,0.0,1,0.1,55,0.1
"17000","5","324","55","0","2000","A","","Illinois -- Statewide","Private","Petroleum and coal products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",142,8501,435961121,0,0,986,51282,"",1.32,1.51,1.15,0.00,0.00,0.77,0.77,"",-3,-2.1,8,0.1,-6386431,-1.4,0,0.0,0,0.0,-16,-1.6,-802,-1.5
"17031","5","324","75","0","2000","A","","Cook County, Illinois","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",45,1738,90943087,0,0,1006,52329,"",1.05,0.68,0.47,0.00,0.00,0.69,0.69,"",-2,-4.3,-47,-2.6,-1901261,-2.0,0,0.0,0,0.0,6,0.6,325,0.6
"17043","5","324","75","0","2000","A","","DuPage County, Illinois","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,186,15381836,0,0,1593,82847,"",0.67,0.34,0.37,0.00,0.00,1.11,1.11,"",-1,-12.5,-12,-6.1,2398353,18.5,0,0.0,0,0.0,329,26.0,17136,26.1
"17089","5","324","75","0","2000","A","","Kane County, Illinois","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,93,4455604,0,0,923,47996,"",1.80,0.51,0.43,0.00,0.00,0.85,0.85,"",0,0.0,1,1.1,377347,9.3,0,0.0,0,0.0,74,8.7,3827,8.7
"17119","5","324","75","0","2000","A","","Madison County, Illinois","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,3435,141867018,0,0,794,41300,"",6.50,38.21,31.04,0.00,0.00,0.81,0.81,"",2,20.0,17,0.5,65507,0.0,0,0.0,0,0.0,-4,-0.5,-187,-0.5
