"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31485196.4713078,1047.94877654185,12913.7397034545,7155.03516669437,87515.2630893552,13229.1374195635,13327.6785620478,4038.39375364581,70490.2664164743,49481.0143215161,2132.50025190342,2289.09956169157,47719.8190402082,16681.144082046,7463.25743189564,6949.41525396725,11582.3844917425,13647.6376447275,2621.14966354519,19434.2906623049,22236.1042709305,25134.923516817,15153.6689935033,8359.71431992383,18386.1646700009,1511.45516009387,4839.01213370139,7003.2412660116,3529.92592634407,31426.7920335188,3372.3073566895,74534.5427483167,27458.3721543001,1261.0965689489,33501.9549955824,7696.41815062463,6288.48350174131,34850.4844303205,2874.19932969629,12165.2892642427,1862.92993963112,25868.7868529816,64971.4798666655,5220.9490732824,1340.0975792654,27380.1081691065,13559.3018279442,3592.47837943029,14081.6457798584,1043.01263896493,18262.8926623415,5385.2257560257,10115.2026467923,520.61908472012,18223.4788001617,51141.1831969953,36481.3233534136,329.161156377676,2240.83515698946,42630.7525193794,5303.00546651963,28409.8356955621,384.229961636835,3602.10905067777,49097.3428000719,64838.6091120735,4662.2463985203,1589.78837343165,3166.91176619634,8953.90885108163,4993.4350714399,40694.5342881171,97005.2490179534,18829.4127743093,450.15956091729,31870.1400955825,11484.5528188741,4698.00293834006,4371.55130132697,1355.21397485678,80576.1689447373,13770.1423466443,650.966778836002,584.524303386682,6858.25311526529,9174.73675262926,6203.18648808002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5066.9027819263,4283437.57939111,10454.0633911195,3092.86060781793,82107.9429843564,9838.12340635881,8214.08348537607,2253.50379379828,29256.730591101,14941.208330759,2532.95406285881,2255.56277104513,25191.9506268686,8062.93446707426,4431.9998676893,3980.48990438548,4738.46367835683,5355.03578659381,1782.58028498272,10510.5816809448,14216.925084283,14347.5278873926,10316.897291775,2650.97734540589,8997.20883175472,1460.65332858692,3085.45362992758,6352.34762905537,2299.20645976631,18413.5763588331,2427.50506397143,44938.0833697799,12046.1762982286,1006.24721065745,16970.5523884219,4152.79497981897,7089.82289703201,19525.4353586072,1813.7726459469,4826.91362663278,1339.43563831751,8602.35628905997,34522.6587257913,4560.26032227334,879.767453513928,13785.8694929804,15800.8823183942,1733.88010109825,8502.8608699898,858.581461862963,19981.3655719334,5515.9958934811,10142.8213585012,537.155534600908,14652.4558277321,38469.1915575463,45431.0056216824,342.228377199891,2299.80118808417,43428.4650778527,5513.25407984391,27057.4810497915,416.197815318504,3915.55978590381,48479.8107925583,64466.2753945807,4757.42795216941,1638.71476074466,3697.79917047148,10216.3876485452,4910.58557247358,40652.1359277714,126014.438310787,24111.4787616178,480.015891379969,20662.9943964069,11572.5686148278,4903.96373248839,4063.61242456035,1410.24432775054,74883.5548472198,15584.6970225134,671.258221431385,593.462892026278,7263.71056869427,9580.95394855228,7658.29078241292
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6970.52006047783,1167.06693709009,44732490.7765657,4560.20351254898,164927.563674447,17219.8631584868,9529.85596806342,2700.3428702819,38775.1564507622,19893.3561324196,2513.24174324334,3176.07178177348,32805.1698309212,10431.8664983948,6003.02433179909,6032.18118649542,6217.19564916326,7923.25619122045,1991.30295227907,12714.6406921803,16274.4899990983,17667.8606357871,13184.5576347426,3787.07114117122,12736.4340536945,1869.66785517016,4480.57747632129,14163.204365778,2613.86250276125,21732.2659325893,5407.61431091544,52610.0881729372,15256.2547524517,1265.12107342618,21224.0229796829,6582.89393626743,8565.53931151732,23424.2665896151,2086.27218347236,6232.9374396449,1841.53726382108,11625.3027312551,57466.2887432432,8270.16582021682,997.838239374539,16963.7980435457,17557.5391872569,2165.44391277302,10742.73862389,1322.91102274958,19454.0786592361,5053.2269058557,9391.51173593149,491.296560016615,16569.5870138203,42411.5074082757,38009.4965081743,312.594595181027,2102.33275756526,39835.0172132102,4985.07133947977,25972.6185358267,366.711054029744,3440.198466605,45380.4678990544,59905.0816065352,4388.1706346238,1496.13641529718,3311.10260224184,8935.40615386469,4589.84387698568,37885.1758276108,103356.961214443,19845.3233860857,427.97030026052,35681.9730954271,10677.4907200546,4433.5513252141,3956.83933297416,1281.87537260224,74119.069443147,13414.2274817816,612.439051413681,547.02353337789,6486.75904817199,8712.34526136251,6517.25434773397
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12191.1694849292,1089.91198169194,14394.76794172,18856437.2288902,95484.2616975734,15569.4888188852,12365.9110394293,3641.35073699565,54316.9201968052,31802.0083448182,2205.71716715989,2521.78199348474,51282.3655764726,16454.6197475015,8721.50315749922,9498.00947278997,10378.6989689053,14142.9608311929,2487.48648234245,17419.8808975546,20792.329541035,24931.6856488996,16896.298221573,7622.9236925316,24681.6804088461,1666.86368992299,5937.47964927179,7733.49569627989,3323.21430737667,28781.7560374334,3924.12898919337,69206.926363642,22275.1141050789,1401.03592448663,31278.3930164488,11792.6770137966,6797.0712859664,31917.8802368051,2676.11467552518,9302.64163033071,2151.48762885271,22648.7040661894,79909.8385590153,5857.69241661445,1270.54131106541,23815.1358968342,14632.7133880335,3160.25182008081,15022.7067781299,1190.78421029671,18488.0422608286,5336.82463256328,10005.4997912469,516.203718828912,17686.7017357638,50185.3670287199,36993.0356369565,326.573385372248,2221.36812219877,42234.3368897331,5265.90383993643,27929.8631006826,383.069454825983,3592.71256952383,48476.4213272874,64097.9700809928,4617.03184944662,1576.43996256817,3205.41003634566,8980.57268659059,4931.63645897324,40218.3162925551,98856.8575292182,19147.5724650449,448.017295263421,33007.1924957691,11366.7201579147,4665.4452914035,4285.9836355512,1344.97912631259,78513.1879832594,13780.0938285349,645.549713294029,578.70683741846,6823.36825240884,9107.37913687726,6297.27113050329
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6361.63273681827,1234.43278057714,22210.8347534866,4073.64320950468,354044035.22057,14917.527602641,9063.1561708201,2550.68207597765,35847.6603629494,18322.4893668377,2652.71682369405,3394.27943480651,30430.3161663822,9682.56464399428,5533.29711919284,5361.58870281682,5745.4530126194,7076.68149823929,1908.01184721977,11984.1390354092,15520.3978023171,16603.4109159628,12392.0235906519,3417.95561752147,11542.0100346223,1908.10945738948,4067.84341823705,14674.9950958775,2495.90315140686,20593.993741553,4057.14461153039,49935.5859084545,14229.5613023925,1212.69165855206,19852.5793711458,5740.66078277654,10251.0752942295,22116.4246068843,1987.76557364836,5787.091414357,1716.93573714506,10654.8342196275,49040.8576422742,7842.48672750265,953.045273413818,15927.6069639528,19790.8486744277,2025.8091838839,10063.3841318102,1241.68572086634,19744.8475704993,5032.37388670924,9330.12388035285,489.799302581006,16104.6165857321,42367.5213584473,38881.1382335149,312.039784318418,2093.91610154202,39640.305177821,4970.30764381895,25671.7251510891,367.169600494029,3445.41974472471,45016.4268296971,59455.6634771016,4370.04919775871,1491.04856774818,3374.46505679387,9044.47160316734,4550.1992447398,37633.0009349117,106381.95950719,20368.886727951,427.925440838523,33408.5863747927,10612.627815977,4423.46107027495,3901.37332243681,1279.04881852843,73047.5285740401,13505.3443071326,610.355090732152,544.286395652006,6479.24231737813,8699.4676447316,6672.39225444424
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7795.57990957625,1199.02061254028,18798.9435042328,5384.6522059591,120928.581745086,61198784.2237893,10618.9686014606,3015.91354894393,41546.1681021689,22156.6510156346,2375.95640855033,3503.90861456159,39543.884962205,12302.0410004617,7708.4695789534,8124.03739319737,7191.06608259866,8694.4258611744,2211.23609474158,14251.6553776686,18089.1029902378,20751.245843638,16782.3194118031,4248.04512518064,15781.2480353691,2254.34681080043,6438.34959547323,10450.0425934245,2910.86227198821,24265.9026156738,5526.98010996376,58965.663008062,17009.8900853085,1643.31440976517,24528.1215452412,8144.90157599895,8553.51602328784,26408.0106528112,2317.39444164195,6918.70716697958,2588.96512455151,13334.0656392111,61709.2184095074,9146.60069053214,1116.74480079618,18991.3230163482,18269.8597220427,2460.12122637128,13090.7076721532,2118.50382747741,18969.3241686608,5261.78129752143,9822.01417479989,509.73216648869,16718.4743507013,47705.7324144044,38254.6277080062,323.051406139546,2191.08169460728,41595.6090484312,5208.74454392133,27111.9514574023,382.063817035891,3585.86096788474,47429.0016618374,62820.1089262592,4548.73229565162,1556.31897307037,3298.27057908254,9093.96249412971,4822.61857524114,39444.24805032,103281.790334804,19915.8560245593,445.412848886042,31448.007341003,11170.1963895357,4618.05760443118,4138.41545409463,1330.47328255302,75461.5162432194,13864.5836208238,637.359330565485,569.512241899909,6774.98212988412,9016.75693943996,6523.63508037226
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8278.06107965112,1055.1901113742,10965.976236515,4507.82074838634,77440.6143560948,11192.8208715608,67454242.9045192,6799.55876236759,48269.4344421349,26133.5867405804,2018.5117201313,2091.56535950562,41241.4611434721,14126.0776698888,6378.33185358097,5361.00700821721,8532.53796597963,7785.56286840683,5001.6829970167,28681.5303797851,60924.7478667245,26715.3364143099,14186.7079038498,4057.96123685084,13351.2760943113,1404.04122626101,4038.17297268241,6162.16997880565,8247.82457990441,74209.7745737363,2756.91811771796,198420.92024222,24846.9777771935,1194.00747497909,34144.1471157712,5564.46983200917,5846.88507924279,58433.0595170908,8735.30828934056,9169.88985194326,1663.81600794458,14743.9855256737,45467.235948847,4606.17076179091,2807.06053324603,33371.0513192963,12760.5411147828,3788.52984182516,13441.2670575522,923.489066352811,17663.7182808853,5850.38202728592,11117.8866247126,560.833182474814,18223.1484099181,72736.2159111852,37247.5770477836,351.44530757235,2439.0704364249,46626.7985657288,5798.2810403302,31193.799504745,416.280869172377,3904.67176512532,53943.5010412724,71779.5061061289,5013.48647837517,1722.62262150812,3211.19742800214,9328.16737852546,5561.11571286207,44258.5523558198,97716.4359533468,19103.1348732641,487.29788786543,25168.1523807552,12626.1126917843,5101.57013484056,4834.27333389256,1460.64865168037,80822.6366992692,14687.0923307245,706.058112003258,635.103876064987,7480.17412917282,9826.91358161193,6287.6908749983
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9092.70649323766,1049.39813487599,11263.938464669,4811.86491963639,79005.2680425232,11523.5555446364,24648.5357893518,14983269.1267801,52502.9118513903,29292.6170954948,2035.6255738017,2123.23421588344,43784.7598106525,15349.9974072653,6658.73369937763,5617.72972990889,9564.34500011677,8325.77612219981,3863.6979149973,49041.3126457182,36748.8363744205,28263.6510036654,14538.7350264064,4384.73108226931,14198.5863635796,1422.23062013338,4191.89514260158,6293.29089906422,5605.86137191789,79054.7220739778,2848.71959157832,145782.050430635,30096.0686709557,1211.30508591345,38135.4242297801,5853.49883552288,5913.66318563937,82756.4696148408,4895.96986507099,10596.8996933464,1707.56833484157,16449.5221443261,47850.678460082,4704.99169224831,2078.42970978529,47235.0581579372,12878.3718930677,4676.77704570868,13973.9296371547,943.974874235098,17758.285759807,5737.60899665929,10871.8463965595,551.247135579481,18317.5738735817,68459.0527909147,36983.6396749091,346.228965713431,2390.64632399447,45644.6164202594,5674.22367157077,30550.8808499053,408.135350362675,3827.43689559111,52774.1773648623,70055.2344284722,4931.21895697263,1690.44792274952,3193.26284741601,9232.77977417915,5419.22210024128,43414.0492110083,97277.1989341608,18990.0223095042,478.016388668541,26175.6400113257,12344.4171590409,5001.96110561115,4728.06996848293,1435.24354742015,80919.9274843539,14451.8636956285,692.671640302146,622.948455933146,7322.76022332495,9671.99258066529,6252.45538128417
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11576.5461530106,993.740823931931,11797.5074762821,5235.41841705459,80988.9710248784,11578.8100564252,12762.8583513493,3829.55873549294,178053852.242396,36216.1274419265,2065.13986339844,2082.54491626213,37940.3058660594,12996.5906990674,6108.46840544986,5639.72603697141,8490.68691421798,10613.1936800244,2522.68142679766,18113.213710095,21422.5104408431,21261.8837686559,12915.2203576347,5426.56715177291,13965.4010145126,1364.74716582719,4037.28236772231,6415.34619567001,3381.63022769604,29892.7961797228,2996.84455156015,70310.9714700265,24881.428736357,1107.10704703503,27749.1401797265,6223.37180259475,5811.48406848163,31978.5750942954,2775.8609933799,11145.7539131775,1599.414531661,16595.0353754948,55160.7977582632,4708.90359325832,1268.42522910456,25243.0589119123,12510.1002304362,3069.25717856805,11757.2890985697,923.703266196827,18129.5838240244,5361.94978702838,10069.9209944295,519.077133815925,19059.7137442465,46479.7611945793,35687.4535479876,328.623641537712,2229.09441232981,42394.7073549525,5256.0737412162,28545.9766829471,379.48493325817,3554.97400055763,49013.4987245695,64488.9495995048,4658.72945334101,1582.56976832506,3113.01803194466,8859.21800966344,4966.22965684581,40669.809017627,94514.4496183398,18371.5414229338,445.836803867538,31064.7583804936,11422.4886887307,4664.07436015178,4402.51323249039,1349.19548467149,84872.4235110279,13581.9906640947,647.780269278217,582.803678110649,6782.67153132105,9145.6185488219,6068.45397518115
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16639.3334320855,1039.15548786683,12393.4504618163,6276.51081770681,84761.1847830424,12644.001776458,14148.8855407788,4374.92884978717,74156.5445640147,112403911.757929,2102.07125682152,2226.03568582037,46670.3239692179,16656.9307537041,7193.54276691346,6499.65502588193,11791.6623880336,11466.003085711,2741.55254918278,21145.9430577338,23476.0928204947,25641.9842384667,14826.5748604772,6485.96619589764,17048.7040492899,1473.43268702855,4615.24291341615,6768.2028781426,3712.09474025575,33671.2821505129,3202.39374951063,79156.5834778318,32790.0950935035,1233.17796335878,34992.0214821379,7057.0164223304,6142.71013527149,37322.2713202496,3042.53419194189,15903.2456039499,1802.12227690324,25452.7782052662,59110.2804997023,5041.38278566482,1404.23836130107,30482.0216386231,13269.5854204608,3930.56119913547,13949.2441024566,1006.67958573059,18134.7916101612,5441.54768968643,10235.8171808699,525.632603051775,18386.1181850061,52729.762850271,36423.8738747951,332.028718397349,2264.4097584051,43103.0868230902,5357.9925755879,28799.8939040609,387.494025506614,3632.43438894019,49708.3562438706,65658.1897028482,4708.12693115616,1605.80772415413,3160.25166344894,8985.46090067897,5060.22126477261,41156.7216460169,96597.2200654832,18774.1180089126,454.180355320606,30421.2359231843,11619.6706253262,4744.11224573566,4437.76755361473,1367.95219995638,81185.7462898832,13854.7664660935,657.563289448612,590.812356027721,6924.20723901078,9255.70934909471,6186.58692979343
