"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","213","55","0","1999","A","","Alabama -- Statewide","Private","Support activities for mining","State, NAICS 3-digit -- by ownership sector","All establishment sizes",86,1214,56752614,0,0,899,46748,"",0.65,0.55,0.66,0.00,0.00,1.20,1.20,"",-6,-6.5,-313,-20.5,-10404428,-15.5,0,0.0,0,0.0,53,6.3,2775,6.3
"01057","5","213","75","0","1999","A","","Fayette County, Alabama","Private","Support activities for mining","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,28,652300,0,0,441,22955,"",6.34,4.33,3.22,0.00,0.00,0.73,0.73,"",0,0.0,4,16.7,210661,47.7,0,0.0,0,0.0,90,25.6,4680,25.6
"01097","5","213","75","0","1999","A","","Mobile County, Alabama","Private","Support activities for mining","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,293,16189124,0,0,1064,55316,"",0.86,1.46,2.09,0.00,0.00,1.43,1.43,"",-1,-9.1,-81,-21.7,-3876900,-19.3,0,0.0,0,0.0,33,3.2,1711,3.2
"02000","5","213","55","0","1999","A","","Alaska -- Statewide","Private","Support activities for mining","State, NAICS 3-digit -- by ownership sector","All establishment sizes",106,4940,342362927,0,0,1333,69309,"",4.73,15.56,22.88,0.00,0.00,1.47,1.47,"",-4,-3.6,-1402,-22.1,-92460964,-21.3,0,0.0,0,0.0,14,1.1,742,1.1
"02020","5","213","75","0","1999","A","","Anchorage Borough, Alaska","Private","Support activities for mining","County, NAICS 3-digit -- by ownership sector","All establishment sizes",41,1314,99504685,0,0,1456,75707,"",4.82,8.74,13.39,0.00,0.00,1.53,1.53,"",2,5.1,-592,-31.1,-34288817,-25.6,0,0.0,0,0.0,106,7.9,5526,7.9
"02090","5","213","75","0","1999","A","","Fairbanks North Star Borough, Alaska","Private","Support activities for mining","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,299,22786911,0,0,1465,76189,"",4.66,8.15,14.01,0.00,0.00,1.72,1.72,"",0,0.0,190,174.3,17307817,315.9,0,0.0,0,0.0,502,52.1,26114,52.1
"02122","5","213","75","0","1999","A","","Kenai Peninsula Borough, Alaska","Private","Support activities for mining","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,827,43050414,0,0,1001,52072,"",8.67,43.79,53.03,0.00,0.00,1.21,1.21,"",-2,-10.5,-52,-5.9,-2629175,-5.8,0,0.0,0,0.0,2,0.2,114,0.2
"04019","5","213","75","0","1999","A","","Pima County, Arizona","Private","Support activities for mining","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,63,5720492,0,0,1737,90324,"",0.92,0.17,0.39,0.00,0.00,2.31,2.31,"",-3,-14.3,-14,-18.2,-552504,-8.8,0,0.0,0,0.0,165,10.5,8591,10.5
"05000","5","213","55","0","1999","A","","Arkansas -- Statewide","Private","Support activities for mining","State, NAICS 3-digit -- by ownership sector","All establishment sizes",116,999,32420866,0,0,624,32453,"",1.37,0.76,0.70,0.00,0.00,0.92,0.92,"",-2,-1.7,-201,-16.8,-5591250,-14.7,0,0.0,0,0.0,15,2.5,772,2.4
"05027","5","213","75","0","1999","A","","Columbia County, Arkansas","Private","Support activities for mining","County, NAICS 3-digit -- by ownership sector","All establishment sizes",19,238,7635268,0,0,616,32047,"",21.56,20.19,19.52,0.00,0.00,0.96,0.97,"",0,0.0,-40,-14.4,-1039000,-12.0,0,0.0,0,0.0,16,2.7,873,2.8
