region,sector_00,sector_01,sector_02,sector_03,sector_04,sector_05,sector_06,sector_07,sector_08,sector_09,sector_10,sector_11,sector_12,sector_13,sector_14
Alabama,1234.25095054091,36.8705728983925,68.2887452286634,58.6637150936924,14.5493365600167,20.0785508216767,21.210181128268,11.4205502214292,66.8292850514354,19.3227589441836,35.7608893613836,42.9580581113042,28.685799517265,1352.51356905312,32.3166182100494
Alaska,117.228050888703,5.41736651868557,0.181516956080634,1.60128911643226,10.2381191662224,0.453088836108248,0.111161546747055,0.395397400454713,0.689483011469073,0.101311789440354,0.460124377041606,0.533294002748528,0.675411929602357,233.603879826655,8.48626947381629
Arizona,1362.86616489753,12.9276098402519,4.9650927782582,24.8950419851567,14.9175433248116,9.54054823086833,7.8692824162136,9.07020031633602,27.8632434694686,11.0267363158402,81.7375615497001,54.3919790985926,26.9601198110915,1796.79026223601,23.7553528076361
Arkansas,724.303240334018,53.6633096002237,11.0675090902764,42.2177472532342,5.07671516157608,9.92929874952938,12.3947460593799,6.48091297222478,32.2074370915521,20.3919226290648,21.9945983994878,23.6242779739619,21.7880192984982,800.707346386954,44.9167774681254
California,8590.43440202941,197.190184837502,189.096010193173,175.511495461018,52.8132664586836,100.195988612676,69.0750014811891,49.4157787805737,185.75016432777,101.567214639561,612.372692068037,256.089031225216,257.503745094381,11345.0702420942,273.770916097171
Colorado,876.764180021041,27.0834584725543,5.32291434476093,23.9104248623589,17.3418113940542,10.3211071202385,6.74497087231211,11.145508000876,21.0411178923984,15.3612897538131,71.6584921663754,20.4084706970705,27.3046050585318,1785.94903579125,35.4506375293465
Connecticut,773.378975646209,12.2383004988287,8.23627140802664,22.8603969417566,2.21465071370976,27.5603926445486,8.76306369882519,3.22179265002234,47.8000974595366,27.6015275589435,45.0546736568611,53.6930056797793,24.312061340078,1274.28666665268,6.1237945139428
Delaware,182.052394460853,8.00073866892436,2.05833364354639,5.46460259348599,1.76969053219815,19.8491180357237,3.27876155609159,0.87713877526211,3.6738943590052,2.53893843574272,2.70567887385165,8.41268563366407,3.97654927187519,286.48949745434,4.35206555265833
Florida,4719.06430218566,56.1629448347611,31.878355292347,74.8305496768521,11.7115994587222,35.9050803773414,20.8155596697398,27.6652716586812,49.6873303768561,31.9501378444278,97.3274775857153,87.3607463160342,86.0838451492122,5903.01746385964,91.144515070909
Georgia,1865.42786316312,76.0321430882181,130.392771736154,96.3998807747625,10.5770604642677,34.1589509479206,28.3674373681607,20.337544961721,51.7599371233759,38.0538124501383,72.4392088342343,65.7062311986177,51.6268146548364,2895.5783783242,50.7402464622949
Hawaii,305.585577494573,6.49700072306347,2.42503370196444,2.5707556817877,0.721736220822751,0.39592386970848,0.12235147362519,1.06816960681767,0.625504724713051,0.461911181326561,0.657123644863381,4.08433964202741,2.53088834768511,471.035301893419,13.0159972166663
Idaho,289.988671662163,19.997526796422,1.21379135196555,17.3185258607834,2.73766518970365,4.81326236924427,1.97223635094977,1.70126336788727,5.84407711924493,2.74045872561151,26.9827633340281,3.07707980250874,7.0634555430262,433.61124685021,35.0700497872853
Illinois,2916.38435561761,109.133630638183,20.0853610147568,122.865585627074,25.7029789647577,79.9446145349651,64.1733967140894,22.652351998532,186.624240373307,139.204490128205,153.037030378404,83.0476009522823,83.4637208004305,4335.69048588545,58.4551935027811
Indiana,1360.99832875833,38.0457478239508,10.4803593525148,63.836627015587,12.8813241810924,45.2069682281127,47.6428855122016,21.0964955514385,156.049270605428,62.2731767940664,63.9845027889037,191.742449308432,67.462272112269,1962.17304641515,37.8682968959708
Iowa,621.230922216007,59.4209846532903,6.15573797296076,24.5527029241498,2.46422359221902,11.3197258137819,16.6049275596424,8.70398484026383,42.1466257544536,45.0213237069193,38.8931343487402,25.587153409201,19.2234233946387,1024.25474272045,64.8852523952315
Kansas,580.091120144988,35.4983465856505,4.72419487484559,25.0361206780193,14.0092443546464,9.74690817397353,13.5459775546988,6.09005747651481,17.466144032067,19.7754375029304,12.3335984824955,73.4932647102283,13.6248314780942,945.879565136782,45.5113867510833
Kentucky,1096.35344389862,33.6176202839071,21.3921625135881,46.0491787713543,28.2562718277484,22.6301317217694,22.500465707682,10.9765693188461,50.4687424936154,32.8751117400806,34.1117160428504,70.2653305812235,23.8476273487789,1251.76976679636,40.0381353393475
Louisiana,1208.48050066098,21.1312447678889,8.70093948202849,33.1077191415919,79.967474684814,42.388629849731,6.31387114950223,6.40299202349087,22.5516943902308,12.3658640385148,7.75900039848711,30.6397564772913,10.701360330481,1431.86120748352,30.2215739147293
Maine,311.682118801709,8.00426904026329,14.4895932432227,30.6095897333126,0.504154899070988,1.77296632886661,1.99847520402947,1.6874284796669,6.39719429772338,4.40390320576662,9.79019564931167,18.3245401490095,6.72638541434043,462.123414413478,17.4782338531397
Maryland,1158.40921816799,23.7465942636943,10.5014819253788,40.539504549773,3.55926557749324,21.3097229460389,7.38945390736112,6.25845892522573,26.1218270715503,10.7752715851859,40.224144732194,29.5377472774167,20.3349744189767,2199.342303055,15.8052606755701
Massachusetts,1472.70820384493,24.8549110116929,29.4346974653793,51.593859841322,2.6699584927093,26.9588437334516,22.0641460594762,8.99940254532925,53.9774120086822,30.7988602946487,138.597586077818,18.2865687919571,55.774577765849,2468.62706237243,12.2285999292415
Michigan,2395.68473585817,45.8232155344373,11.371235954063,67.6676091946747,9.89610595162268,53.18162032179,61.9992364424919,17.1497128341257,157.621355116864,110.470257269079,45.0564663065502,544.435728139855,77.9431100929681,3112.17674754048,42.3383535592479
