"year","country","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
2005,"USA",0.250476177023351,0.0183968003223748,0.00293381195289253,0.000112528793411009,0.00932143308656713,0.0049253970822664,0.00242672862901532,0.000324524543639835,0.000284183517570353,0.000446449443079566,0.00022931779183844,0.000805870879080716,0.0168504293371692,0.0499291546606936
2005,"USA",0.00126880589603491,0.346053292696817,0.0126989109842715,0.000149408758096136,0.00449436309934208,0.0223916741667268,0.00539538501219322,0.000509688212363255,0.00270263073745409,0.00392445649053905,0.0145285586485339,0.037477246588072,0.00290122217505802,0.00217874238783636
2005,"USA",0.0521341044713998,0.0213517982270738,0.308948913350299,0.000905454051708539,0.0214269790690071,0.0450975569687544,0.0498433768336847,0.0151149173672678,0.0196221377774597,0.0281415740096166,0.0167634844159253,0.128097473690936,0.0340432691692516,0.012287294312425
2005,"USA",0.00470590257332987,0.0104977162075311,0.0140767116840448,0.0590257252652388,0.0979713816069858,0.0259714447763142,0.0153673855473173,0.00930695552763293,0.00781561033729684,0.0055945973980979,0.00194930146417608,0.00521296488373621,0.0327706972223048,0.0639786566578156
2005,"USA",0.0130881396816933,0.205430208536786,0.0482467039976492,0.00712948658150152,0.418930010993674,0.391931173632794,0.0528410395407606,0.0254409619645586,0.0193064121374143,0.0352406839924684,0.0158526061205882,0.0597776864577395,0.0146739496139772,0.0704672096690894
2005,"USA",0.0313701871273562,0.0119260469570761,0.0187703413479095,0.000390209288411093,0.0272873663834465,0.106154485874762,0.017352523468253,0.00889514330159245,0.0496666817082798,0.0281232766289572,0.0430477228227278,0.0751138417093528,0.0124723277973532,0.0131652201195675
2005,"USA",0.00917235052167066,0.00322567596818644,0.00436856607957803,0.00102161498916449,0.0036738321097325,0.0113186200827699,0.218089068524519,0.0104309977457439,0.00932327307635868,0.00918594065677395,0.0117103711352538,0.0062384383565064,0.0128132419378584,0.00784377874788811
2005,"USA",0.0350076886984119,0.01705531207695,0.0249908562947695,0.00113288561254384,0.01841293826097,0.0418677106481584,0.0556073151682595,0.473392337429168,0.294155682711569,0.13321035990644,0.174947744187532,0.172902295684056,0.0188747486493949,0.0497242643490472
2005,"USA",0.00575811319726043,0.00228152025898366,0.00925934960499389,0.00020625799813389,0.00704062748424653,0.0142753593938043,0.00630376586400372,0.0210179369607288,0.133049050636438,0.016862796957452,0.0453503987086454,0.00880237136736048,0.00811951074234676,0.0206592226200256
2005,"USA",0.00695350627382316,0.0206307363483473,0.0229820556283887,0.000683761126470516,0.0159994341594248,0.0361630383899085,0.0295803398707827,0.0379274307095545,0.0927251754374814,0.297510107796836,0.0662819046383271,0.0416509479837696,0.0190382063185312,0.00484848977051103
2005,"USA",0.00285849427765086,0.00331913769272333,0.00392053362419375,0.000184326598480503,0.00250038489374195,0.00387386598337973,0.00523482317037704,0.00682990993170123,0.0335261432343866,0.00784752526513342,0.351365814579025,0.00452986755875214,0.0113024211184449,0.0103420425526932
