"year","region","sector","deficit"
2001,"CYP",102,-147.000075216982
2001,"CZE",102,-131.24453217817
2001,"DEU",102,-11475.8216955865
2001,"DNK",102,-674.343848842528
2001,"ESP",102,-446.762971828641
2001,"EST",102,132.68073772496
2001,"FIN",102,-629.721783540894
2001,"FRA",102,-5090.87428793875
2001,"GBR",102,-12933.0231726179
2001,"GRC",102,-1681.07666777469
2001,"HUN",102,-197.9757275966
2001,"IDN",102,8121.3927151597
2001,"IND",102,13419.1077942866
2001,"IRL",102,-1358.33200821674
2001,"ITA",102,19697.9891719759
2001,"JPN",102,-21071.907046019
2001,"KOR",102,11062.4493660083
2001,"LTU",102,263.397750185831
2001,"MEX",102,240.768961955109
2001,"NLD",102,-1940.00748005526
2001,"POL",102,1393.57582495994
2001,"PRT",102,2336.35058852493
2001,"ROU",102,16.627295883859
2001,"RoW",102,39871.5223188567
2001,"RUS",102,-8059.85395569852
2001,"SVK",102,23.3890083904646
2001,"SVN",102,-5.12392331108185
2001,"SWE",102,-1629.73799896329
2001,"TUR",102,12022.0415534441
2001,"TWN",102,9601.2045026102
2001,"Alabama",103,3287.29069636097
2001,"Alaska",103,-68.5809817662499
2001,"Arizona",103,-1720.5323357478
2001,"Arkansas",103,2275.18251263112
2001,"California",103,-14999.3114678531
2001,"Colorado",103,-2411.46072411587
2001,"Connecticut",103,501.096594449745
2001,"Delaware",103,-303.148472506143
2001,"Florida",103,-4797.72135248968
2001,"Georgia",103,4585.83525464182
2001,"Hawaii",103,-165.56117155008
2001,"Idaho",103,846.807864111511
2001,"Illinois",103,-8073.76941418527
2001,"Indiana",103,-4174.24183202767
2001,"Iowa",103,-1553.86389972018
2001,"Kansas",103,-599.26418844287
2001,"Kentucky",103,1797.10193923097
2001,"Louisiana",103,5354.69881326574
2001,"Maine",103,4446.81414850717
2001,"Maryland",103,-765.128544392252
2001,"Massachusetts",103,-294.487980353015
2001,"Michigan",103,-2243.60291180062
2001,"Minnesota",103,1908.85284979205
2001,"Mississippi",103,3172.15882726927
2001,"Missouri",103,2290.45105989336
2001,"Montana",103,388.504703840533
2001,"Nebraska",103,-83.8402189690373
2001,"Nevada",103,-442.43767659703
2001,"NewHampshire",103,505.692865285211
2001,"NewJersey",103,-6580.14857137074
2001,"NewMexico",103,-177.180245601424
2001,"NewYork",103,-8483.74122748035
2001,"NorthCarolina",103,2064.74488868091
2001,"NorthDakota",103,98.9954869846196
2001,"Ohio",103,-1743.92578178214
2001,"Oklahoma",103,400.728071294517
2001,"Oregon",103,4719.29268925881
2001,"Pennsylvania",103,2820.09725494967
2001,"RhodeIsland",103,-40.8366549362405
2001,"SouthCarolina",103,739.032651885014
2001,"SouthDakota",103,220.169206284214
2001,"Tennessee",103,1395.54104749303
2001,"Texas",103,-8876.15549907545
2001,"Utah",103,258.400430815485
2001,"Vermont",103,138.051959883588
2001,"Virginia",103,-637.023174337533
2001,"Washington",103,2554.15090354879
2001,"WestVirginia",103,944.355904564451
2001,"Wisconsin",103,9104.82070946041
2001,"Wyoming",103,-122.523209800495
2001,"AUS",103,-1828.77450589128
2001,"AUT",103,2585.97936266219
2001,"BEL",103,-323.032847837174
2001,"BGR",103,-93.1308345908756
2001,"BRA",103,2575.2167079841
2001,"CAN",103,21675.9118358011
2001,"CHN",103,-2817.27804272654
2001,"CYP",103,-128.084227098122
2001,"CZE",103,110.877778541054
2001,"DEU",103,2466.96526459781
2001,"DNK",103,-875.652874075216
2001,"ESP",103,-1025.38789182074
2001,"EST",103,213.45734022725
2001,"FIN",103,11105.481339152
2001,"FRA",103,-3102.71531381379
2001,"GBR",103,-4832.78161535999
2001,"GRC",103,-1200.27396936045
2001,"HUN",103,-673.658298661678
2001,"IDN",103,4951.8393756309
2001,"IND",103,-519.20417797323
2001,"IRL",103,4998.84067429776
2001,"ITA",103,-2515.37019711657
2001,"JPN",103,-10591.5766304146
2001,"KOR",103,-1618.12245827686
2001,"LTU",103,4.8485411989675
2001,"MEX",103,-4548.52041237276
2001,"NLD",103,-1585.36617679205
2001,"POL",103,611.952909451653
2001,"PRT",103,592.780902316241
2001,"ROU",103,86.355627929373
2001,"RoW",103,-8894.19826473462
2001,"RUS",103,878.893934112157
2001,"SVK",103,248.619057969646
2001,"SVN",103,246.443257330499
2001,"SWE",103,8811.23770761859
2001,"TUR",103,-704.337282588653
