"importer","sector","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","NewHampshire","NewJersey","NewMexico","NewYork","NorthCarolina","NorthDakota","Ohio","Oklahoma","Oregon","Pennsylvania","RhodeIsland","SouthCarolina","SouthDakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","WestVirginia","Wisconsin","Wyoming","AUS","AUT","BEL","BGR","BRA","CAN","CHN","CYP","CZE","DEU","DNK","ESP","EST","FIN","FRA","GBR","GRC","HUN","IDN","IND","IRL","ITA","JPN","KOR","LTU","MEX","NLD","POL","PRT","ROU","RoW","RUS","SVK","SVN","SWE","TUR","TWN"
"Alabama",101,3743.80925278714,0,0,180.532127306313,55.6782199130996,3.29965844186548,1.28544224021125,8.24301246745179,121.560387915311,1285.05146833039,0,0.00195663645456428,281.617790201427,38.7845694213067,93.8767085544807,16.1647188894206,89.7551706006244,65.4248821227174,0.00389397821567763,31.7596782914289,5.42259596905608,33.282454232462,18.8960201208626,210.531982559912,56.1447460189922,0.00195663645456428,0.00243793046453869,0,0.662403742759519,52.1957365215099,0,37.8793016380988,163.833806349094,0,88.3349845619335,13.6854311984861,24.6035714641628,70.6769611487451,0,41.5106602905967,0.00782654581825712,613.254033950644,175.420609021614,0.666339443131246,0.0199726857598519,216.078298719068,0.264646787239588,0.0534636795252045,90.6440346393526,0,0.241940227290187,0.0224208513419941,0,0,0,12.2762430289812,2.5087309448312,0,0,8.33052091009112,0.150608809023923,1.68138246251766,0,0,0.945287637982214,0.980433541485008,0.0424760842222869,0,0.0559912515381155,0.0906741919845629,0.0577649951805136,1.13405783518716,0.00685433078962546,0,0,73.3975741752553,0.0640942547039733,0,0,0,88.0179741811427,0.00110476872647607,0,0,0,0.241796699023,0
"Alaska",101,0,1105.03410562678,0,0,21.0678808140428,0,0,0,0,0,0,0,0.0000691355586957763,0.00195663645456428,0,0,0,0,0,0,0,0.000406321722894554,0,0,0,0.65992575662227,0,0,0,0.0000172838896739441,0,0.000118895463472011,0,0,0.0000172838896739441,0,11.3926413292964,0.0000172838896739441,0,0,0,0.0136964554362927,0.0704389113469432,0.0137310232156406,0,0,364.698116739586,0,0.0234796384721423,0,0.692701464870305,0,0,0,0,4.5230346175901,0,0,0,0.0397373423344951,0,0,0,0,0.00885209271916164,0.00723154223200427,0,0,0,0,0,0,0.00591142092587314,4.44166989379453,0,0,0.0181630099898381,0,0,0,0.0697053866215517,0,0,0,0,0,0
"Arizona",101,8.55089604037784,0,6071.60374831073,42.5738351559807,2255.24397870863,28.9250183977615,1.39451900973742,1.97977733497855,15.2439728189261,7.38136364371905,0,19.9224723969058,32.8668263891688,13.8728677533513,133.59140931785,148.157422945029,34.0596599187544,2.74781863113028,0.000406321722894554,1.26792241538232,51.459103004235,36.6541229371803,85.1636793683544,31.1265614332297,79.8389437971774,0.0133092167619091,52.2085377509292,52.7888344823176,0.0842454524187825,21.918390640913,1.50858661641756,45.7909874102646,0.312702870783199,0,34.3503811021143,34.4171317612647,85.5234225369967,0.031114393661503,0.000406321722894554,0.0593693213949868,0.0117398192360711,83.9572256927629,340.563198168471,235.570110460573,0.0293495470728069,4.77809475797685,77.3738305706621,0.000921439818063453,105.109057368607,0.000267514784863814,8.50106416878084,0.314199983064789,0.483750001395377,0.0063154550478833,0.301285862168433,36.9507296737697,6.76593429725364,0,0.185196408460021,7.55381292537087,0.537404994604769,0.987149436529712,0.12200215559428,0,10.0536169399309,11.8077411736068,0,0,0.0963087837374882,1.308418335321,10.3995017151078,9.6741208784831,0.732316701563584,0.115917422255909,0,29.1348118341442,4.08587204993813,1.76247258835033,0.213490811457659,0,34.7948591909763,0,0,0,12.811873214458,0,0.037942687221478
"Arkansas",101,8.21047247995607,0,0.00243793046453869,5446.53974057267,132.41925880671,5.69323232873713,0.175028536596046,0,22.6223861519418,67.8884584496173,0,0,317.165465050807,108.777881817899,186.87542920257,23.921003435394,85.1541961962971,92.2856127642992,0.000377421108789466,0.077304937078776,0.454875304885432,107.472428352575,93.8559803576136,3.83244425618077,723.775869238064,0,0.00634105509099695,0.00405771592297809,0.0000297238658680027,0,0,45.8499632849959,41.2480899881423,0,45.2910633928906,114.321384724222,12.0189829296878,105.056920353707,0.0352561502070732,27.1674603418102,0.0000594477317360054,403.037637159792,600.666853340848,9.29496153784236,3.16532809287283,37.2671450921946,0.309919163848152,0.158182224615802,52.380260977916,0,1.67494655234907,0,0.417251347395063,0,0.0349802418370402,43.3562890720016,4.1177947172573,0,0,1.67759474203709,0.0873025629823213,0.351606979633888,0,0.0502870661280533,5.00633887707092,16.3496468179174,0,0,0.183573678329857,0.0504844525310622,22.3641923202201,1.17099490231892,0,0,0,4.43208180317328,0.179223889173232,0.01545177333436,0,0,22.0285589945711,7.27970622956407,0,0,0.787021881979638,0,0
"California",101,66.5815176834804,0,229.97660079765,585.201042846001,61207.7494456146,786.782288940475,62.1935543319757,33.2432059500024,712.591309093527,288.319311263675,15.3642768455468,263.860692883767,1321.61616173027,379.131975815479,1253.36567872032,983.311551306246,309.429174729885,51.1999178107562,11.9457771962497,167.390918712783,260.553354849309,132.174773549108,661.211506544603,148.345359684161,420.605135636241,73.1080247669708,1258.80935842188,417.017443685188,70.454126793056,408.944039585983,168.075947517616,528.248607390891,367.005360152848,156.479071291943,587.285198357769,78.2609124210152,924.134137672801,1076.08976297268,36.8740283349213,56.9253702774926,124.325024907174,410.415902803443,1557.34591936784,334.255095413662,33.631279575942,280.91807525288,1609.62932867176,23.1459397265622,660.616246635789,0.953150664736862,391.902078633441,350.071040846702,33.2879310143664,4.65700219900222,73.1927709103636,1074.75917769217,886.153612277428,1.61189060546632,3.29958177094891,107.373933274278,49.5563756575233,139.064568674257,1.42904644909256,5.00878664468976,419.681847763931,169.590792234299,12.9666625501078,2.33938358756872,145.74727204949,83.1843482473595,164.53768599989,379.485333850389,220.487765671757,172.122424969384,0.552140079340809,470.296984641892,351.824635986002,21.0039390968737,15.7053499702452,1.13758743440337,4309.14200898627,3.56167910579075,0.00740739892255798,0.228132582027329,39.5487094174118,40.5174010482826,84.0859112735765
"Colorado",101,3.17771459703004,1.31985151324454,1.94574061271674,94.4497489703357,733.554118322251,4334.57697280602,1.38463189865571,0,23.3708184906952,0.373208562527548,0,75.6876152277802,59.7651466368415,2.2873326029512,101.885564875792,119.033892766097,27.5919255162521,0.07209980268901,0.00849595247056937,1.26541534935113,23.4118892869967,17.7628971470186,66.9182931277665,0.0161144742355156,76.1724151632084,10.2453586404314,137.997236789792,0.243886755342876,0.663884228777034,27.0735983344772,35.6994806925605,17.0782301533829,21.1210283135297,11.1943373777971,24.9750386907523,11.8717116952543,47.8446982177566,27.1174643283934,0.0581915735855651,0.148855836233607,57.6349625437021,22.8625474018907,80.8399892493692,127.263331010584,0,0.0603766070887696,90.544450727072,0.000406321722894554,61.4746840290329,6.54316867929325,57.7005469309503,0.132428713965672,1.5192920104525,0,0.369119361449707,76.7900096549658,5.41652983376398,0,1.18253859845114,9.06475401605851,0.0227640244188461,5.86356359410666,0.0233538451615454,0.99141934649366,18.5564367324927,15.5552987593737,0.0589642851815857,0.0526439955306446,0.717862626192994,1.09811507840031,14.3247671875491,18.1205900770984,0.0111584990213672,0.0737443111412445,0,9.36738792055557,3.18328799184726,0.44275408758378,0.481901372771367,0,33.6340526395626,0.00858046609326948,0,0,7.26002148063452,0.466248508261522,0.205050600409731
"Connecticut",101,0.0394934835743627,0,0,0.000237790926944022,88.7356288136736,1.89783790495782,3374.29860643729,19.1941190602681,1.09816119396143,0.0758437779290668,0,0.00782654581825712,22.8623804329499,0.0262204886421528,9.23964161967117,11.5384842487782,19.5933465480394,0.000707996039214114,38.51420830742,125.392814705141,413.107666775566,9.17551927581431,8.34432035336577,0.0313061832730285,7.15269528640652,0.0000891715976040081,0.0156876594158621,0.0567424579453923,66.735693085612,386.428183102473,0.00195663645456428,1274.21589267155,14.3076564929142,0,71.2242035426258,0.0105406350005427,5.07442664956063,138.738830158767,26.3317352230006,0.15725224444593,0.0000172838896739441,19.3004960427723,0.726435129842829,0.0137677177492422,4.72195951201881,3.55773003521021,3.91463406758412,0.0199230504273734,36.6967740335674,0.012355296074374,8.09933954356395,0.168454440033192,1.02910021835908,0,27.1645617219473,126.527532752744,12.800438527391,0,0.0829202416689778,12.380059232648,5.70363255025584,15.734202670101,0,0.366872712118358,29.0682321856696,15.0787908180977,0.891633881659554,0,4.45357999317316,2.93292008927649,10.5717700520735,51.6596789886035,1.34330911186973,0.0194826508351578,0,42.8895179246475,4.30606549371979,0.822890394869798,1.82383620550225,0.0555052524614636,88.7783825210297,0.509364955981974,0,0.0326722824934685,5.44745173860013,1.29903258047524,0.104367076544362
"Delaware",101,0.0538402853701823,0,0,0.00195663645456428,11.0840405279127,0.00978318201847867,0.0690803288089289,331.132483026841,0.0137331499698943,0.0125794697461716,0,0,26.8090901329611,7.91910933991419,0.000406321722894554,0.00391327290912856,0.0051322381413979,0.0527503067443725,0,537.163182241635,15.3123058129517,3.8091648586838,0,0,0.000782129754355986,0,0,0,0.00284425212384756,50.7765042449238,0,1.511962949659,28.4042740116881,0,41.9293205484476,0,0,135.235643771096,0,3.31928425363417,0,5.08067467697192,2.99340923994372,0,0.00978318201847867,74.6284525913999,0.00978318201847867,0.0204371986819395,0.0194814374750688,0,2.2862787682543,0.178281356821777,0.297027742192199,0,50.7642912712416,8.93028459203283,0.29490618236976,0,0,2.64019681759752,0.00293099461072876,0.179856026180199,0,0,3.6452323283427,4.23949265387911,0.017981510852552,0,1.59831977710256,0.659085924093322,1.0327059854369,5.09472151294669,0.185483463729411,0,0,0.0801354845899797,1.32537856840988,0.123766739590566,0.0040462516233314,0,71.8110858680603,0.0606294207560909,0,0,2.64104877718338,0,0
"Florida",101,441.707497025844,0,0.963279974687753,340.623788790243,791.11524677824,80.4221702513223,32.3515531897656,4.63573322987472,19057.2417912048,2560.1913702599,0,37.9551817421381,550.941497338582,129.964702453516,212.428718113949,273.835021269193,154.372715972612,73.3827972647984,7.97575299036862,69.3035336455404,191.167983370901,164.269259524499,157.411817377079,70.5731799925418,152.38689923237,0.00978318201847867,258.664018562123,2.62610149175771,27.6535083199802,335.47543526535,0.206740310801735,702.637527708635,1052.64009532906,0,118.803489366473,56.4285664908538,44.3309193258287,746.400755891276,20.9517703415551,122.554451340633,0.0453593230649954,469.535099811561,640.038627370194,28.5916530906294,29.7939297337065,401.763368841411,0.299118735383291,4.52529441414747,428.408760554343,0,73.3979394561538,10.3382122922681,6.84641611040837,0.635520392172548,214.306803474396,158.297427382273,124.648802645346,0,0.725538807188065,39.7538731026821,57.1150687923592,90.5836148899115,0.197827497800336,8.1319952441206,224.549224516139,197.692977575978,1.65091802468509,0.818511138324082,64.6823716972087,18.2092527644374,59.9249009111259,129.780049910425,1.3110375164956,1.84595437183926,0.186657180679665,69.8392301077997,139.974773527356,13.9740315780145,3.02047245171443,0.653997742514673,1444.1692713068,2.57809776955079,0.015328646550862,0.0696911133890269,36.1431239211612,7.02239869087533,1.58320799768677
"Georgia",101,1214.46667177602,0,0.00413235266046996,248.066980223598,593.308873327898,0.284090190112823,13.3892216900801,0.0235666603093982,877.483914252162,10029.1255769778,0.00195663645456428,32.8940581057613,920.457885345765,356.888965035048,408.059280587679,532.471978632961,417.504981346662,29.7045185454465,0.0465259418461998,76.8218892768379,124.186759728844,277.868323078244,81.8377552108222,212.892954945451,403.174759734874,0.00782654581825712,221.909824023912,5.36765758008175,8.62159367257814,205.426256073812,59.4623348449183,362.914151228196,1227.91705804735,23.4062007828762,383.859021997152,25.5675287540713,82.921832338649,864.039430875272,0.174646039474118,830.415747747735,5.73480125256878,1593.50126531967,715.971053017171,40.2889302939681,56.9657853627643,403.60204460325,18.1830949795701,26.0994376458339,459.154176062515,0.036519444069831,32.9861111896446,0.0348123754318997,7.78496878591766,0,31.7563011154055,302.318380787389,33.2598989936566,0,0.950436443304747,20.8423542700807,18.6312896422171,12.2728927515906,0,1.62419668089991,59.0307722964835,18.7296086700959,0.37249199217474,0.00513466753565742,5.67564571968516,14.4245523494527,12.9539040236093,21.1731770154767,6.82597758668607,3.09416926417537,0,51.6861733478785,67.0082014810417,4.92146967763015,0.549440139786862,0.0492948458215087,793.349034648324,0.531769665754908,0,0.26843700389695,12.0330942049749,1.42118047031085,0.522428611250334
