region,sector_00,sector_01,sector_02,sector_03,sector_04,sector_05,sector_06,sector_07,sector_08,sector_09,sector_10,sector_11,sector_12,sector_13,sector_14
Alabama,1261.15147747861,40.4858694200404,62.7328674702329,54.5219951294095,10.426455783089,12.4812224891383,17.7953449572261,9.532232784893,57.8131045145225,16.1246946593365,26.6320709657445,33.8565323704136,24.8856216966447,1378.53950043308,15.5152299583897
Alaska,119.16315291538,8.84901773357948,0.0512155210879701,1.00587283416773,10.1847185235537,0,0,0,0,0.0215105188569475,0,0.18847311760373,0.314463299480137,182.898820288515,1.59587563710115
Arizona,1371.13680901503,12.0766198725434,3.62708320345005,20.3387077344547,10.0208288560722,5.6644366323295,7.58297005228486,9.58856985808977,26.9209265046806,9.93273815980093,62.6089259092,37.7919330108132,18.217360850991,1804.41602017757,29.9600555260408
Arkansas,784.147527342428,54.575259271341,11.2899494686321,37.0923289927515,4.47623654308859,6.59451049528704,15.1526240690868,5.38275126634566,32.8322219486542,18.2562846470178,23.3174024409311,20.5312780937455,20.971731575102,802.695740459647,15.4527470226624
California,8479.94844551535,195.086065686609,171.693888584889,165.513199499993,40.2390106083964,83.640067488764,74.9344532142309,49.3645921558509,209.468408318533,111.372247847478,486.488040331254,157.26750060483,184.788673016662,11773.1924935473,415.514595517967
Colorado,928.333559550969,26.284829732768,4.48750395772794,19.9597128784037,12.9421621789301,7.8216343805548,6.6836255019801,11.0072397922265,20.8774950163002,11.2028830827826,52.3197277226268,12.529365078961,20.0252687453963,1843.58565070565,15.1833533817396
Connecticut,854.387565893736,8.83877462936189,4.90132536811874,20.1737937565514,0.289879849357911,20.5742991314594,8.99651843431284,2.93567366876245,48.0534748159989,24.20752819744,36.1386959900935,47.8813906651433,17.5075137287117,1366.10846915461,5.27212574079565
Delaware,188.602180716872,9.41955863849947,1.87039083013267,3.43553715458104,0.885004204400124,5.39299437056326,2.58228657325545,0.818424026985763,3.57689199278384,1.00689714458949,3.95486253841306,6.48286065931526,3.03708040051663,296.173212589201,1.77512996090905
Florida,4682.55622117064,47.1520816448506,24.6049606410826,57.1053060130867,8.53353012367759,22.8738760283092,18.055519804353,23.9780826629659,56.3370731967672,31.0478731939493,79.4055682052107,53.6882064460974,52.910754835982,6076.5966112162,101.316592437066
Georgia,1937.70236518817,76.7505555920103,117.669708320455,86.3503928647394,9.19728327697768,23.9668152483265,26.8051794270218,20.0600952997362,43.62947810442,30.2151088210589,42.6061919930824,44.6752990450364,33.8319489202913,3094.73985846789,28.4829998978637
Hawaii,302.334439776084,7.82982886392888,1.86629358844563,1.58153529119652,0.25812622628337,0.56541935281119,0.213056567725956,0.938268346331613,0.398456754064408,0.0573613836185266,0,4.96995416637662,1.79254323807896,472.846274134263,8.2958901058294
Idaho,297.06333834571,17.2831897463464,0.599221596729251,13.1306352965338,2.32006310528505,2.39586207649524,1.54568442643494,1.52417390757799,4.51106309742841,3.37715146054075,20.5189863686844,2.54028984596332,4.29083635675014,429.885670735252,21.0219227857682
Illinois,2921.81782168731,95.5384573479213,18.7213215784966,98.0633825375582,18.706981232592,58.4799305990878,60.1044869279983,21.8823435400461,180.457888553463,118.382628374,117.097118794691,56.7355299508316,59.479657570725,4732.3684369808,16.1943477680162
Indiana,1511.09448780255,35.842670278205,7.51434125402698,62.3262162327944,10.081263170956,32.04964878643,51.9294654519365,18.3290106869628,140.05806120885,56.9567810019316,53.0357207074366,157.722294432091,60.8317473274474,2099.85582650479,12.1933912606239
Iowa,654.217847583935,52.7253546496435,5.13179521301461,28.7872200931263,0.53264141931489,7.55941091258439,16.1882019054856,7.73661661554877,32.3507960504272,38.4771966829702,28.9121859645809,21.6016824844841,17.3128947485774,1097.75347899955,11.524516555215
Kansas,613.357080549531,35.2444729918975,3.82579942527137,17.2872869880334,9.15733517052906,7.57067832722375,11.2131261870002,6.60987515161343,16.965653515601,20.6460008609825,11.8973655487355,59.722419140682,11.9680429678369,1009.03078319802,8.72200324128132
Kentucky,1156.19346149219,30.7856497259789,19.2959597251036,41.9321957355647,20.456503432957,15.301149080242,19.3686857650486,11.5869994909424,43.9746707165529,26.9741906466121,27.7065725981701,61.0468525160169,17.8475847887358,1300.85784666769,8.23852872221088
Louisiana,1293.96218890841,22.3156268484504,8.34710562691737,26.2991700786727,55.4817739945981,28.7534178492082,5.26495556784333,7.07388777267044,21.2718545286775,13.776975172664,5.83549647276332,25.0228792931605,6.6180696349875,1525.69603286473,13.104003225568
Maine,324.447253161026,7.85031507236406,10.9652430649344,24.1317292262298,0.36055726845931,1.69216081674653,2.8486072829129,1.83249134452757,5.90514958144296,3.12824402805322,8.33174097059098,13.4881196337278,4.31234687560709,462.995480808203,6.3558461670171
Maryland,1222.01974643614,22.8595356824046,8.14736509467429,30.1198479518352,2.36513276384246,15.0245852663669,9.3355651839152,6.23497753724949,19.5561345722305,13.5372865339723,32.5105884762217,10.0597526520991,9.50355209308374,1986.21575538354,4.76304346118122
Massachusetts,1626.98906616209,27.0264304781218,27.3480639505543,43.6345996565288,2.61506450675176,18.9077460752568,23.2600410573125,8.80292376460031,55.0484906861938,33.3996899223089,122.214573661801,18.0012313519997,39.623400044919,2693.28597210941,6.22473443303189
Michigan,2417.31523396857,41.1393794691229,8.29691441625116,57.8212989978965,9.43287467398234,34.4045384460548,54.3560568410845,21.2636600453034,136.165681606164,104.086327817503,41.5511522586702,351.159220339667,63.8872653155557,3441.85612557287,23.7721962681922
