"year","region","sector","deficit"
2000,"Alabama",101,1109.32286245134
2000,"Alaska",101,644.263068111874
2000,"Arizona",101,-1569.40595641421
2000,"Arkansas",101,5236.62919392337
2000,"California",101,-7502.66815923242
2000,"Colorado",101,145.870148018137
2000,"Connecticut",101,-181.901435659816
2000,"Delaware",101,-338.849549652471
2000,"Florida",101,-6501.12194515776
2000,"Georgia",101,-941.117058991054
2000,"Hawaii",101,-97.1262220141109
2000,"Idaho",101,1602.92672344465
2000,"Illinois",101,-1305.62008700023
2000,"Indiana",101,-576.568888117607
2000,"Iowa",101,3648.68603798597
2000,"Kansas",101,6858.16038816174
2000,"Kentucky",101,549.499061753134
2000,"Louisiana",101,-362.255045190905
2000,"Maine",101,-153.096574722871
2000,"Maryland",101,-424.859843992303
2000,"Massachusetts",101,-2667.64291450295
2000,"Michigan",101,-3477.48133063302
2000,"Minnesota",101,1842.36424434157
2000,"Mississippi",101,610.184839270139
2000,"Missouri",101,-196.281018342226
2000,"Montana",101,-198.017562040528
2000,"Nebraska",101,7998.93714255258
2000,"Nevada",101,-412.275023886409
2000,"NewHampshire",101,367.881289999175
2000,"NewJersey",101,-4123.6566160245
2000,"NewMexico",101,260.198209256909
2000,"NewYork",101,-3336.50828488524
2000,"NorthCarolina",101,-362.598232215722
2000,"NorthDakota",101,1019.19696116237
2000,"Ohio",101,-520.710362604637
2000,"Oklahoma",101,-380.838198069651
2000,"Oregon",101,1798.71791627051
2000,"Pennsylvania",101,-6947.77319267486
2000,"RhodeIsland",101,322.849872366429
2000,"SouthCarolina",101,-50.8787437339206
2000,"SouthDakota",101,-32.3358231530493
2000,"Tennessee",101,4191.72717221523
2000,"Texas",101,-5145.59545916139
2000,"Utah",101,-171.38255128771
2000,"Vermont",101,439.333815116833
2000,"Virginia",101,269.159871685226
2000,"Washington",101,-1517.20157289908
2000,"WestVirginia",101,101.22398095986
2000,"Wisconsin",101,7655.72478411302
2000,"Wyoming",101,15.2121304621043
2000,"AUS",101,6548.76132476741
2000,"AUT",101,-241.980389094413
2000,"BEL",101,2857.25685304518
2000,"BGR",101,-43.0862119278681
2000,"BRA",101,5308.82734963917
2000,"CAN",101,848.995679764164
2000,"CHN",101,4388.21051473779
2000,"CYP",101,-126.376057322555
2000,"CZE",101,-112.538255346942
2000,"DEU",101,-3062.5726479554
2000,"DNK",101,5424.49949376939
2000,"ESP",101,-204.819836644368
2000,"EST",101,-57.2937975664188
2000,"FIN",101,-74.6517853210416
2000,"FRA",101,6334.07424769718
2000,"GBR",101,-7634.52973973159
2000,"GRC",101,-1611.64040062973
2000,"HUN",101,382.150725552947
2000,"IDN",101,1412.95221231291
2000,"IND",101,2067.56455709395
2000,"IRL",101,4229.22128869551
2000,"ITA",101,-3746.79616345678
2000,"JPN",101,-33230.2950193095
2000,"KOR",101,-2955.53668154102
2000,"LTU",101,-171.010500286096
2000,"MEX",101,-2394.34146381471
2000,"NLD",101,15184.6257063311
2000,"POL",101,574.48264010132
2000,"PRT",101,-1579.9720987094
2000,"ROU",101,-581.0070073488
2000,"RoW",101,14941.7820826594
2000,"RUS",101,-6668.64504870267
2000,"SVK",101,-210.824975333093
2000,"SVN",101,-203.65426564887
2000,"SWE",101,-1278.68998549535
2000,"TUR",101,1512.64717507972
2000,"TWN",101,-3018.09158142202
2000,"Alabama",102,415.615473898003
2000,"Alaska",102,-54.6239340120387
2000,"Arizona",102,-1098.01558037062
2000,"Arkansas",102,-759.241739466163
2000,"California",102,-14910.1407705623
2000,"Colorado",102,-1073.46749760933
2000,"Connecticut",102,-1091.62821289162
2000,"Delaware",102,-118.123877447167
2000,"Florida",102,-7852.67796578176
2000,"Georgia",102,-1997.2232819923
2000,"Hawaii",102,-281.325726258185
2000,"Idaho",102,-236.258768676297
2000,"Illinois",102,-2970.73136056348
2000,"Indiana",102,-0.0868391850340231
2000,"Iowa",102,-536.88553670638
2000,"Kansas",102,-1035.73920261474
2000,"Kentucky",102,-2304.84833327961
2000,"Louisiana",102,-1395.77593779462
2000,"Maine",102,-73.7541040746935
2000,"Maryland",102,-1775.38027284488
2000,"Massachusetts",102,-1499.7821837834
2000,"Michigan",102,-2850.05513142245
2000,"Minnesota",102,-1197.98782688121
2000,"Mississippi",102,-1378.53232691519
2000,"Missouri",102,-63.1733951637707
2000,"Montana",102,-104.000825069564
2000,"Nebraska",102,-210.561620818632
2000,"Nevada",102,-17.9136231731175
2000,"NewHampshire",102,86.284016921576
2000,"NewJersey",102,-9740.6847297715
2000,"NewMexico",102,-169.66885144026
2000,"NewYork",102,-15793.9949668366
2000,"NorthCarolina",102,3281.21367507289
2000,"NorthDakota",102,-55.0766003062516
2000,"Ohio",102,-4914.41518345897
2000,"Oklahoma",102,-266.006099095932
2000,"Oregon",102,-888.055179867539
2000,"Pennsylvania",102,-2172.20224313254
2000,"RhodeIsland",102,-1.87262108688776
2000,"SouthCarolina",102,2734.45385735267
2000,"SouthDakota",102,-14.2358574694123
2000,"Tennessee",102,-1594.59517413678
2000,"Texas",102,-7298.86355554991
2000,"Utah",102,-366.226287823979
2000,"Vermont",102,-384.686672782634
2000,"Virginia",102,-34.4496666106679
2000,"Washington",102,-1935.06494654812
2000,"WestVirginia",102,-341.45383237551
2000,"Wisconsin",102,-1727.44726365641
2000,"Wyoming",102,-24.2427229503775
2000,"AUS",102,-2290.36551877663
2000,"AUT",102,-1031.79732325581
2000,"BEL",102,1546.62716492975
2000,"BGR",102,329.373166872041
2000,"BRA",102,1989.72281239433
2000,"CAN",102,-4492.8988648588
2000,"CHN",102,40720.7141143595
2000,"CYP",102,-114.460376388459
2000,"CZE",102,-39.4411907522067
2000,"DEU",102,-13459.6768321357
2000,"DNK",102,-656.561234176793
2000,"ESP",102,-358.707538597755
2000,"EST",102,131.296557812719
2000,"FIN",102,-586.014789576069
2000,"FRA",102,-4493.89503695316
2000,"GBR",102,-12098.252130617
2000,"GRC",102,-1714.86485645215
2000,"HUN",102,-193.090836489462
2000,"IDN",102,8227.77161967399
2000,"IND",102,15475.9092608855
2000,"IRL",102,-1307.53347845951
2000,"ITA",102,18996.7962965402
2000,"JPN",102,-21690.4028284836
2000,"KOR",102,14012.0303710402
2000,"LTU",102,283.848389852396
2000,"MEX",102,391.881406519515
2000,"NLD",102,-2546.73812744803
2000,"POL",102,1510.33124557895
2000,"PRT",102,2496.31662332193
2000,"ROU",102,-75.9768463497576
2000,"RoW",102,31714.4315689878
2000,"RUS",102,-5229.71527348994
2000,"SVK",102,74.3262526116119
2000,"SVN",102,-17.7910997843937
2000,"SWE",102,-1869.81366520393
2000,"TUR",102,12979.6330005449
2000,"TWN",102,11480.5993033375
2000,"Alabama",103,3452.7646343749
2000,"Alaska",103,-68.0148199527704
2000,"Arizona",103,-1717.2302721868
2000,"Arkansas",103,2347.86131711165
2000,"California",103,-15156.5820114531
2000,"Colorado",103,-2469.5538519841
2000,"Connecticut",103,500.918124401547
2000,"Delaware",103,-307.383136544551
2000,"Florida",103,-4879.57100420164
2000,"Georgia",103,4753.5206861094
2000,"Hawaii",103,-169.500659627491
2000,"Idaho",103,895.07698635831
2000,"Illinois",103,-8236.51233463148
2000,"Indiana",103,-4233.8011955332
2000,"Iowa",103,-1576.5929697477
2000,"Kansas",103,-609.112150938426
2000,"Kentucky",103,1837.08826022139
2000,"Louisiana",103,5472.90259008505
2000,"Maine",103,4572.72162674429
2000,"Maryland",103,-789.229234209469
2000,"Massachusetts",103,-464.219434551444
2000,"Michigan",103,-2276.74627455248
2000,"Minnesota",103,1954.81709663062
2000,"Mississippi",103,3266.03082380796
2000,"Missouri",103,2319.88101818099
2000,"Montana",103,394.965209928837
2000,"Nebraska",103,-84.3956088834368
2000,"Nevada",103,-450.992751238246
2000,"NewHampshire",103,512.417373535906
2000,"NewJersey",103,-6718.52795981032
2000,"NewMexico",103,-179.373230842289
2000,"NewYork",103,-8685.15008523043
2000,"NorthCarolina",103,2134.18860937821
2000,"NorthDakota",103,100.825718446986
2000,"Ohio",103,-1759.55475459281
2000,"Oklahoma",103,406.823584485196
2000,"Oregon",103,4860.6491605208
2000,"Pennsylvania",103,2823.56366826624
2000,"RhodeIsland",103,-40.4783146445221
2000,"SouthCarolina",103,772.041617100631
2000,"SouthDakota",103,223.364757898969
2000,"Tennessee",103,1463.98426592227
2000,"Texas",103,-8858.58591877616
2000,"Utah",103,261.03433126083
2000,"Vermont",103,140.30019840995
2000,"Virginia",103,-615.236180901524
2000,"Washington",103,2836.18378838756
2000,"WestVirginia",103,965.175444399188
2000,"Wisconsin",103,9264.69586963169
2000,"Wyoming",103,-125.229940992437
2000,"AUS",103,-2424.1556991163
2000,"AUT",103,2555.17620740326
2000,"BEL",103,-450.43791811496
2000,"BGR",103,-48.2441844033775
2000,"BRA",103,2587.74254475559
2000,"CAN",103,23633.9456619961
2000,"CHN",103,-3577.51947234015
2000,"CYP",103,-125.604426619469
2000,"CZE",103,73.6203597627728
2000,"DEU",103,1557.16540040259
2000,"DNK",103,-822.89314953049
2000,"ESP",103,-1453.51755002769
2000,"EST",103,208.994356291144
2000,"FIN",103,11430.1354515199
2000,"FRA",103,-3237.0626543199
2000,"GBR",103,-4568.93448472385
2000,"GRC",103,-978.711313495682
2000,"HUN",103,-686.924598584169
2000,"IDN",103,5181.87032426165
2000,"IND",103,-140.764654086994
2000,"IRL",103,7092.18921896734
2000,"ITA",103,-3137.46575972127
2000,"JPN",103,-12380.4209744206
2000,"KOR",103,-1841.54570299213
2000,"LTU",103,-2.10644363724384
2000,"MEX",103,-4873.88073478973
2000,"NLD",103,-2022.76980418248
2000,"POL",103,267.481537941747
2000,"PRT",103,750.754867817188
2000,"ROU",103,126.0761383399
2000,"RoW",103,-8772.06517735191
2000,"RUS",103,1245.46031834622
2000,"SVK",103,244.100738351433
2000,"SVN",103,247.4818940166
2000,"SWE",103,9839.1111288476
2000,"TUR",103,-1392.44976783548
2000,"TWN",103,-2166.05434429971
2000,"Alabama",104,-25.0981723955433
2000,"Alaska",104,280.456133688824
2000,"Arizona",104,-213.203047531968
2000,"Arkansas",104,-461.061628358529
2000,"California",104,-197.47285507161
2000,"Colorado",104,-85.5914001711012
2000,"Connecticut",104,-420.204072239692
2000,"Delaware",104,151.961978442388
2000,"Florida",104,-4357.5309603368
2000,"Georgia",104,-472.242796631139
2000,"Hawaii",104,124.720733968686
2000,"Idaho",104,-145.772235036336
2000,"Illinois",104,1900.67422600127
2000,"Indiana",104,-564.39148523231
2000,"Iowa",104,-47.8488221228847
2000,"Kansas",104,56.9174467191679
2000,"Kentucky",104,-849.865054897356
2000,"Louisiana",104,4820.70307767487
2000,"Maine",104,-477.509068464459
2000,"Maryland",104,-461.037870483961
2000,"Massachusetts",104,-932.000516678325
2000,"Michigan",104,-13.3013483603645
2000,"Minnesota",104,-218.43634433091
2000,"Mississippi",104,-1444.70711109903
2000,"Missouri",104,-1108.42883168945
2000,"Montana",104,-26.4656201342098
2000,"Nebraska",104,-78.3715300264419
2000,"Nevada",104,-309.63809037558
2000,"NewHampshire",104,-1862.70823714928
2000,"NewJersey",104,-2965.50631456461
2000,"NewMexico",104,8.38951907455169
2000,"NewYork",104,-2087.80483100304
2000,"NorthCarolina",104,48.966880356596
2000,"NorthDakota",104,53.5859720963525
2000,"Ohio",104,84.4252410939171
2000,"Oklahoma",104,493.525677186118
2000,"Oregon",104,-283.801958545412
2000,"Pennsylvania",104,295.170743481534
2000,"RhodeIsland",104,-4.40718617417667
2000,"SouthCarolina",104,-311.981779343896
2000,"SouthDakota",104,2.25299739235038
2000,"Tennessee",104,832.601365894215
2000,"Texas",104,-2858.51452985287
2000,"Utah",104,416.324831399481
2000,"Vermont",104,-130.94888778806
2000,"Virginia",104,198.088736101755
2000,"Washington",104,1171.70636029233
2000,"WestVirginia",104,62.9604475324412
2000,"Wisconsin",104,-46.5130180186497
2000,"Wyoming",104,-86.7062682709541
2000,"AUS",104,332.266720950403
2000,"AUT",104,-888.047481317575
2000,"BEL",104,4149.88358522363
2000,"BGR",104,166.576015776854
2000,"BRA",104,-1822.69937312148
2000,"CAN",104,2852.58191717235
2000,"CHN",104,-3202.71766964782
2000,"CYP",104,83.400141894669
2000,"CZE",104,-776.316898353199
2000,"DEU",104,-8447.43452301864
2000,"DNK",104,-1234.04841232289
2000,"ESP",104,-245.416782552071
2000,"EST",104,-205.030499405639
2000,"FIN",104,850.143755831892
2000,"FRA",104,-696.197224566713
2000,"GBR",104,2905.87279380995
2000,"GRC",104,-149.273477623404
2000,"HUN",104,-59.10781931986
2000,"IDN",104,3255.48450197412
2000,"IND",104,-1462.43408336707
2000,"IRL",104,-1427.15900231446
2000,"ITA",104,-592.044669019229
2000,"JPN",104,-10984.1508160659
2000,"KOR",104,2984.88700085229
2000,"LTU",104,-183.634769318078
2000,"MEX",104,-2853.85074168754
2000,"NLD",104,6831.69811918702
2000,"POL",104,-77.6937899992554
2000,"PRT",104,-567.936656721908
2000,"ROU",104,183.059082601195
2000,"RoW",104,25526.8926576963
2000,"RUS",104,2265.30268169963
2000,"SVK",104,730.368048413141
2000,"SVN",104,-691.963003652146
2000,"SWE",104,1029.55420772145
2000,"TUR",104,-2480.113012776
2000,"TWN",104,-2555.06102065186
2000,"Alabama",105,-32.1153881746613
2000,"Alaska",105,128.954814884261
2000,"Arizona",105,-1309.5711779043
2000,"Arkansas",105,120.374297973451
2000,"California",105,-9504.09480882797
2000,"Colorado",105,-464.557758480825
2000,"Connecticut",105,1234.2717545147
2000,"Delaware",105,-1800.28141894789
2000,"Florida",105,-3764.5843883723
2000,"Georgia",105,-2641.58345357219
2000,"Hawaii",105,-109.534975537037
2000,"Idaho",105,-278.810661565931
2000,"Illinois",105,-5095.19626178083
2000,"Indiana",105,-2111.20844987795
2000,"Iowa",105,-771.90431782101
2000,"Kansas",105,-481.16664631496
2000,"Kentucky",105,-902.843286450829
2000,"Louisiana",105,9016.38525744533
2000,"Maine",105,-95.3251431282005
2000,"Maryland",105,-877.599681981847
2000,"Massachusetts",105,1480.76807726221
2000,"Michigan",105,-1269.45576522836
2000,"Minnesota",105,-903.985449219035
2000,"Mississippi",105,373.711595330386
2000,"Missouri",105,561.018646766017
2000,"Montana",105,-152.180078339551
2000,"Nebraska",105,128.559813828992
