"ISIC REV. 4 - ISIC REV. 3.1",,
"Source","Target"
"4520","5020"
"4530","5030"
"4540","5040"
"4610","5110"
"4620","5121"
"4630","5122"
"4641","5131"
"4649","5139"
"4651","5151"
"4652","5152"
"4653","5159"
"4659","5159"
"4661","5141"
"4662","5142"
"4663","5139"
"4663","5143"
"4669","5149"
"4690","5190"
"4711","5211"
"4719","5219"
"4721","5220"
"4722","5220"
"4723","5220"
"4730","5050"
"4741","5239"
"4742","5233"
"4751","5232"
"4752","5234"
"4753","5233"
"4753","5239"
"4759","5233"
"4761","5239"
"4762","5233"
"4763","5239"
"4764","5239"
"4771","5232"
"4772","5231"
"4773","5239"
"4774","5240"
"4781","5252"
"4782","5252"
"4789","5252"
"4791","5251"
"4791","5259"
"4799","5259"
"4911","6010"
"4912","6010"
"4921","6021"
"4922","6021"
"4922","6022"
"4922","9241"
"4923","6023"
"4930","6030"
"5011","6110"
"5012","6110"
"5021","6120"
"5022","6120"
"5110","6210"
"5110","6220"
"5120","6210"
"5120","6220"
"5210","6302"
"5221","5020"
"5221","6010"
"5221","6303"
"5222","6303"
"5223","6303"
"5224","6301"
"5229","6309"
"5310","6411"
"5320","6412"
"5510","5510"
"5520","5510"
"5590","5510"
"5610","5520"
"5621","5520"
"5629","5520"
"5630","5520"
"5811","2211"
"5811","7240"
"5812","2211"
"5812","7240"
"5813","2212"
"5813","2219"
"5813","7240"
"5819","2219"
"5819","7240"
"5820","7221"
"5820","7240"
"5911","9211"
"5911","9213"
"5912","9211"
"5912","9231"
"5913","9211"
"5914","9212"
"5920","2213"
"5920","7240"
"5920","9211"
"5920","9213"
"6010","7240"
"6010","9213"
"6020","7240"
"6020","9213"
"6110","6420"
"6120","6420"
"6130","6420"
"6190","6420"
"6201","7229"
"6202","7210"
"6202","7229"
"6202","7230"
"6209","7290"
"6311","7230"
"6312","7240"
"6391","9220"
"6399","7499"
"6411","6511"
"6419","6519"
"6419","6719"
"6420","6599"
"6430","6599"
"6491","6591"
"6492","6592"
"6499","6592"
"6499","6599"
"6511","6601"
"6511","6603"
"6512","6603"
"6520","6601"
"6520","6603"
"6530","6602"
"6611","6711"
"6612","6712"
"6612","6719"
"6619","6599"
"6619","6719"
"6621","6720"
"6622","6720"
"6629","6720"
"6630","6602"
"6630","6712"
"6810","7010"
"6810","7514"
"6820","7020"
"6820","7514"
"6910","7411"
"6920","7412"
"7010","7414"
"7020","7414"
"7110","7421"
"7120","7422"
"7120","7523"
"7210","7310"
"7220","7310"
"7220","7320"
"7310","7430"
"7310","7499"
"7320","7413"
"7410","7421"
"7410","7499"
"7420","7494"
"7420","9220"
"7490","6309"
"7490","7414"
"7490","7421"
"7490","7492"
"7490","7499"
"7500","8520"
"7710","7111"
"7721","7130"
"7722","7130"
"7729","7130"
"7730","7111"
"7730","7112"
"7730","7113"
"7730","7121"
"7730","7122"
"7730","7123"
"7730","7129"
"7730","7130"
"7740","6599"
"7810","7491"
"7810","9249"
"7820","7491"
"7830","7491"
"7911","6304"
"7912","6304"
"7990","6304"
"7990","7513"
"7990","9214"
"7990","9219"
"7990","9241"
"8010","7492"
"8020","5260"
"8020","7492"
"8030","7492"
"8110","7020"
"8121","7493"
"8129","7493"
"8129","9000"
"8130","0140"
"8130","9000"
"8211","7499"
"8219","6411"
"8219","7499"
"8220","7499"
"8230","7499"
"8291","7499"
"8292","7495"
"8299","7499"
"8411","7511"
"8411","7514"
"8412","7512"
"8413","7513"
"8421","7521"
"8422","7522"
"8423","7523"
"8430","7530"
"8510","8010"
"8521","8021"
"8522","8022"
"8522","8090"
"8530","8030"
"8541","9241"
"8541","9309"
"8542","8090"
"8542","9219"
"8549","8090"
"8549","9241"
"8550","7414"
"8550","7499"
"8550","8532"
"8610","8511"
"8620","8512"
"8690","8519"
"8710","8519"
"8720","8519"
"8720","8531"
"8730","8519"
"8730","8531"
"8790","8531"
"8810","8532"
"8890","7521"
"8890","8532"
"9000","9214"
"9000","9219"
"9000","9220"
"9101","7514"
"9101","9231"
"9102","9232"
"9103","9233"
"9200","9249"
"9311","9241"
"9312","9241"
"9319","9241"
"9321","9219"
"9329","9219"
"9329","9241"
"9329","9249"
"9411","9111"
"9412","9112"
"9420","9120"
"9491","9191"
"9492","9192"
"9499","0150"
"9499","6599"
"9499","9199"
"9511","7250"
"9512","3220"
"9512","5260"
"9521","3230"
"9521","5260"
"9522","5260"
"9523","5260"
"9524","3610"
"9524","5260"
"9529","5260"
"9601","9301"
"9602","9302"
"9603","9303"
"9609","9309"
"9700","9500"
"9810","9600"
"9820","9700"
"9900","9900"
